,region,customer_lifetime_value,response,coverage,education,effective_to_date,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
2351,north west,25581,no,basic,college,1/13/11,jan,employed,m,27961,suburban,married,72,5,64,0,2,personal auto,personal l3,offer1,agent,345,two-door car,small
2352,west region,5451,no,basic,bachelor,1/6/11,jan,employed,m,55898,suburban,married,69,35,87,0,6,personal auto,personal l3,offer1,agent,441,two-door car,medsize
2353,east,6333,no,extended,master,1/8/11,jan,employed,m,71737,urban,divorced,79,7,79,0,4,personal auto,personal l2,offer3,agent,338,two-door car,medsize
2354,west region,6993,no,basic,high school or below,1/22/11,jan,unemployed,f,29201,suburban,single,65,29,35,2,2,corporate auto,corporate l2,offer1,call center,468,four-door car,medsize
2355,north west,8696,no,basic,bachelor,1/4/11,jan,employed,f,56550,rural,married,73,22,41,3,2,corporate auto,corporate l1,offer3,agent,162,two-door car,medsize
2356,west region,8531,no,premium,bachelor,1/27/11,jan,employed,m,98677,rural,married,105,3,40,0,9,personal auto,personal l2,offer1,branch,108,four-door car,large
2357,west region,8311,no,basic,bachelor,1/26/11,jan,unemployed,f,21962,urban,married,72,22,79,0,2,corporate auto,corporate l2,offer2,agent,311,four-door car,medsize
2358,west region,5366,no,basic,doctor,2/22/11,feb,unemployed,f,83353,urban,married,70,5,29,0,4,personal auto,personal l2,offer1,agent,223,four-door car,large
2359,central,8901,no,extended,high school or below,1/19/11,jan,unemployed,m,73754,suburban,single,136,14,69,1,8,personal auto,personal l3,offer1,agent,1090,sports car,small
2360,west region,2530,yes,basic,bachelor,1/21/11,jan,employed,f,89451,rural,single,63,4,2,0,1,personal auto,personal l3,offer2,web,61,four-door car,medsize
2361,central,4671,no,basic,high school or below,1/21/11,jan,unemployed,f,57212,suburban,single,66,7,66,0,9,personal auto,personal l3,offer2,call center,475,four-door car,medsize
2362,east,8263,no,extended,high school or below,2/11/11,feb,unemployed,m,12799,rural,married,79,11,45,1,2,corporate auto,corporate l3,offer1,agent,46,two-door car,large
2363,west region,3142,no,extended,bachelor,1/10/11,jan,employed,m,43285,urban,single,83,35,77,0,1,corporate auto,corporate l3,offer2,web,265,four-door car,medsize
2364,central,4786,no,basic,college,1/2/11,jan,employed,m,45515,urban,married,61,14,33,0,9,personal auto,personal l3,offer2,call center,236,four-door car,medsize
2365,west region,13561,no,extended,college,1/29/11,jan,medical leave,f,29095,urban,divorced,91,29,47,1,2,corporate auto,corporate l3,offer1,agent,280,two-door car,medsize
2366,north west,3798,no,premium,bachelor,2/4/11,feb,unemployed,m,87192,suburban,married,107,34,70,1,1,corporate auto,corporate l3,offer1,web,1261,two-door car,medsize
2367,west region,9538,no,extended,bachelor,2/26/11,feb,unemployed,m,73083,rural,married,85,7,6,0,2,personal auto,personal l2,offer4,call center,58,two-door car,medsize
2368,central,7894,no,basic,bachelor,1/24/11,jan,employed,m,21723,suburban,single,104,31,6,0,8,personal auto,personal l2,offer2,call center,748,suv,medsize
2369,east,2860,no,basic,college,2/20/11,feb,employed,m,51159,rural,married,72,4,61,0,1,personal auto,personal l2,offer2,branch,4,four-door car,medsize
2370,east,4506,no,premium,college,2/17/11,feb,medical leave,f,15462,suburban,married,115,34,18,0,1,corporate auto,corporate l2,offer1,web,611,four-door car,medsize
2371,north west,2150,no,basic,bachelor,1/29/11,jan,unemployed,m,95193,suburban,single,63,8,83,0,1,personal auto,personal l1,offer1,branch,453,two-door car,medsize
2372,west region,2413,no,basic,college,1/27/11,jan,medical leave,m,27501,suburban,married,63,20,0,0,1,personal auto,personal l1,offer4,branch,542,four-door car,medsize
2373,north west,2556,no,basic,high school or below,1/5/11,jan,employed,m,23867,suburban,married,65,6,99,0,1,personal auto,personal l2,offer3,call center,312,four-door car,medsize
2374,west region,7613,no,basic,high school or below,1/19/11,jan,retired,m,25944,suburban,divorced,70,20,34,0,2,personal auto,personal l3,offer4,branch,336,four-door car,medsize
2375,central,4897,no,basic,bachelor,1/7/11,jan,medical leave,m,24383,suburban,single,69,4,78,2,4,corporate auto,corporate l3,offer1,call center,331,four-door car,medsize
2376,west region,5331,no,basic,high school or below,1/12/11,jan,employed,m,60986,suburban,married,67,30,32,0,5,corporate auto,corporate l3,offer4,branch,417,four-door car,medsize
2377,central,11905,no,premium,high school or below,2/24/11,feb,unemployed,f,20040,suburban,single,115,19,39,0,2,corporate auto,corporate l1,offer1,branch,840,four-door car,medsize
2378,central,9118,no,basic,high school or below,1/8/11,jan,employed,f,56446,suburban,married,114,2,8,0,3,personal auto,personal l3,offer1,branch,547,suv,medsize
2379,north west,10899,no,extended,high school or below,1/14/11,jan,employed,f,58518,rural,married,136,17,9,0,3,personal auto,personal l3,offer1,agent,323,suv,medsize
2380,central,15641,no,extended,master,1/11/11,jan,employed,f,32370,urban,married,130,31,84,0,2,corporate auto,corporate l3,offer3,agent,487,suv,medsize
2381,west region,2481,no,basic,high school or below,1/13/11,jan,employed,f,77993,suburban,single,62,26,10,0,1,personal auto,personal l1,offer2,agent,297,four-door car,medsize
2382,east,7919,no,basic,master,2/21/11,feb,unemployed,m,90654,suburban,married,70,13,18,0,2,personal auto,personal l1,offer1,agent,336,four-door car,medsize
2383,central,4506,no,basic,bachelor,1/31/11,jan,disabled,f,14985,suburban,married,116,12,45,0,1,personal auto,personal l3,offer1,call center,571,sports car,medsize
2384,north west,16301,yes,extended,master,2/17/11,feb,retired,f,19614,suburban,married,85,21,32,0,2,personal auto,personal l3,offer2,agent,574,two-door car,medsize
2385,west region,19957,no,basic,high school or below,1/29/11,jan,unemployed,m,13792,suburban,single,187,1,7,0,2,personal auto,personal l2,offer1,agent,1346,luxury car,large
2386,central,7462,yes,extended,college,1/28/11,jan,employed,f,70263,rural,married,93,30,66,0,5,corporate auto,corporate l2,offer2,call center,7,two-door car,small
2387,north west,4742,no,basic,bachelor,2/26/11,feb,employed,f,78596,rural,married,118,1,70,0,1,personal auto,personal l1,offer1,branch,133,suv,medsize
2388,central,5107,yes,basic,bachelor,1/26/11,jan,employed,f,35625,urban,married,65,10,56,1,3,personal auto,personal l1,offer2,agent,288,four-door car,medsize
2389,central,10382,no,basic,high school or below,2/20/11,feb,retired,m,11721,suburban,divorced,102,2,56,2,2,personal auto,personal l2,offer2,agent,560,suv,medsize
2390,central,5528,no,basic,high school or below,2/7/11,feb,medical leave,m,16042,suburban,married,73,33,58,0,9,personal auto,personal l3,offer1,agent,350,sports car,medsize
2391,west region,2503,no,basic,bachelor,1/11/11,jan,employed,m,53338,rural,married,63,24,35,1,1,personal auto,personal l2,offer4,agent,35,four-door car,medsize
2392,north west,12904,no,premium,bachelor,2/27/11,feb,employed,f,27778,suburban,divorced,109,34,14,0,2,personal auto,personal l3,offer1,agent,523,four-door car,large
2393,east,11681,no,extended,bachelor,2/26/11,feb,employed,m,70930,rural,divorced,99,2,21,0,2,personal auto,personal l1,offer1,agent,190,four-door car,medsize
2394,east,6005,no,extended,college,2/23/11,feb,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize
2395,east,5018,no,basic,bachelor,1/18/11,jan,employed,m,54500,suburban,married,63,28,17,0,6,corporate auto,corporate l2,offer1,agent,302,two-door car,small
2396,north west,9404,no,extended,bachelor,2/1/11,feb,employed,f,51593,urban,married,80,5,91,2,2,personal auto,personal l2,offer1,agent,202,two-door car,medsize
2397,west region,4754,no,extended,college,1/4/11,jan,unemployed,f,85629,suburban,single,136,5,46,0,1,corporate auto,corporate l1,offer1,call center,652,suv,medsize
2398,north west,6915,no,extended,college,1/25/11,jan,employed,f,96610,suburban,married,85,6,23,0,3,corporate auto,corporate l1,offer4,call center,520,four-door car,large
2399,north west,9294,no,extended,bachelor,1/22/11,jan,employed,f,21370,rural,married,77,1,35,0,2,corporate auto,corporate l3,offer2,call center,105,four-door car,medsize
2400,central,3871,no,premium,high school or below,2/6/11,feb,unemployed,f,33142,suburban,single,111,10,75,0,1,personal auto,personal l3,offer2,agent,799,four-door car,medsize
2401,north west,2938,no,basic,bachelor,2/28/11,feb,employed,f,96765,urban,married,72,14,61,0,1,personal auto,personal l3,offer3,call center,216,two-door car,medsize
2402,west region,7545,no,basic,high school or below,1/23/11,jan,unemployed,f,20792,suburban,married,106,19,67,1,3,corporate auto,corporate l3,offer3,agent,631,suv,medsize
2403,west region,2425,no,basic,bachelor,1/3/11,jan,unemployed,f,97888,suburban,married,67,3,42,1,1,corporate auto,corporate l3,offer2,web,426,four-door car,medsize
2404,west region,19483,no,extended,high school or below,2/2/11,feb,employed,m,74300,urban,married,122,23,38,0,2,personal auto,personal l3,offer2,web,354,suv,medsize
2405,central,14333,no,basic,master,2/4/11,feb,employed,m,41459,suburban,married,71,8,4,0,2,personal auto,personal l3,offer2,call center,340,four-door car,medsize
2406,east,27382,no,extended,high school or below,1/2/11,jan,employed,f,45473,rural,married,76,10,29,0,2,special auto,special l2,offer4,branch,188,two-door car,medsize
2407,west region,4365,no,basic,master,1/30/11,jan,disabled,m,23566,suburban,married,112,3,43,0,1,personal auto,personal l2,offer2,agent,537,suv,medsize
2408,west region,7659,no,extended,high school or below,2/20/11,feb,employed,m,95701,rural,divorced,98,24,8,3,3,personal auto,personal l3,offer1,branch,99,four-door car,small
2409,west region,5386,no,basic,college,1/5/11,jan,employed,f,33716,suburban,married,68,18,67,1,3,personal auto,personal l2,offer1,agent,349,four-door car,small
2410,east,2089,no,basic,high school or below,2/23/11,feb,unemployed,m,56049,suburban,single,63,30,6,1,1,personal auto,personal l2,offer1,agent,453,four-door car,small
2411,west region,5241,no,basic,bachelor,1/28/11,jan,employed,f,48345,urban,single,67,7,1,0,7,personal auto,personal l3,offer2,web,212,four-door car,large
2412,central,7623,no,basic,high school or below,2/9/11,feb,employed,m,69900,rural,married,64,23,68,0,2,personal auto,personal l2,offer4,branch,33,two-door car,large
2413,central,4533,no,basic,bachelor,2/12/11,feb,employed,m,91967,rural,married,113,34,74,0,1,special auto,special l1,offer1,agent,156,suv,medsize
2414,west region,2722,yes,basic,college,2/2/11,feb,medical leave,f,17576,suburban,married,71,29,70,0,1,personal auto,personal l3,offer2,call center,398,four-door car,medsize
2415,north west,5054,no,basic,doctor,2/20/11,feb,employed,f,22241,suburban,married,63,1,1,0,6,personal auto,personal l3,offer2,web,343,four-door car,medsize
2416,west region,25464,yes,extended,college,2/1/11,feb,retired,f,13663,suburban,single,97,1,66,0,2,personal auto,personal l2,offer1,branch,465,four-door car,small
2417,central,8257,no,basic,bachelor,1/12/11,jan,disabled,f,23815,suburban,married,73,4,47,0,2,personal auto,personal l3,offer2,call center,424,four-door car,medsize
2418,north west,5923,no,basic,master,2/2/11,feb,employed,f,92163,rural,married,73,3,79,0,6,personal auto,personal l3,offer3,web,66,two-door car,medsize
2419,north west,4882,no,basic,high school or below,1/17/11,jan,medical leave,f,19715,suburban,married,66,25,11,4,5,personal auto,personal l3,offer1,web,475,two-door car,large
2420,east,12846,no,basic,college,2/6/11,feb,employed,m,93210,suburban,married,107,6,9,2,2,personal auto,personal l3,offer1,agent,513,suv,small
2421,west region,5414,no,extended,bachelor,2/23/11,feb,employed,f,57452,suburban,married,136,25,10,1,1,personal auto,personal l1,offer1,branch,652,suv,large
2422,north west,8329,no,basic,high school or below,1/19/11,jan,employed,f,30865,rural,married,104,33,31,0,7,personal auto,personal l3,offer1,web,21,suv,medsize
2423,west region,7430,no,extended,college,1/21/11,jan,employed,m,61568,urban,married,93,3,36,0,3,corporate auto,corporate l1,offer1,agent,240,four-door car,medsize
2424,north west,3713,no,extended,high school or below,2/10/11,feb,employed,m,93308,suburban,married,92,20,56,0,1,personal auto,personal l3,offer2,agent,441,four-door car,medsize
2425,north west,8798,no,premium,bachelor,2/6/11,feb,employed,f,24550,suburban,married,111,12,6,0,9,personal auto,personal l1,offer2,agent,536,four-door car,small
2426,east,16728,no,extended,high school or below,1/15/11,jan,unemployed,m,17351,suburban,single,237,1,29,0,5,personal auto,personal l1,offer3,agent,1706,luxury car,medsize
2427,west region,2326,no,basic,doctor,2/17/11,feb,unemployed,m,28776,suburban,married,62,26,98,0,1,personal auto,personal l3,offer3,agent,624,four-door car,small
2428,central,2577,no,basic,high school or below,1/26/11,jan,employed,m,74215,suburban,married,64,27,41,0,1,personal auto,personal l3,offer4,branch,345,two-door car,small
2429,north west,6624,no,basic,bachelor,2/26/11,feb,unemployed,m,55135,suburban,married,62,27,53,0,2,corporate auto,corporate l3,offer1,branch,297,two-door car,medsize
2430,north west,5290,no,basic,high school or below,2/27/11,feb,employed,f,27179,suburban,divorced,66,8,91,0,9,personal auto,personal l3,offer1,branch,344,four-door car,medsize
2431,north west,11692,no,extended,bachelor,2/6/11,feb,employed,m,40548,suburban,divorced,98,7,57,0,2,personal auto,personal l3,offer1,agent,470,four-door car,medsize
2432,west region,4517,no,basic,bachelor,2/9/11,feb,medical leave,f,25261,suburban,married,118,31,9,0,1,personal auto,personal l3,offer4,branch,566,four-door car,medsize
2433,west region,13931,no,basic,bachelor,1/12/11,jan,employed,m,37695,urban,married,118,11,62,0,2,personal auto,personal l2,offer1,branch,352,suv,medsize
2434,west region,15306,no,basic,high school or below,2/6/11,feb,employed,f,83868,rural,married,189,30,91,0,7,corporate auto,corporate l2,offer1,agent,134,luxury car,medsize
2435,west region,7724,no,premium,bachelor,2/7/11,feb,employed,f,32051,suburban,married,193,4,40,1,1,personal auto,personal l3,offer1,call center,926,suv,medsize
2436,north west,4505,no,basic,college,2/15/11,feb,employed,f,67801,rural,divorced,115,12,45,1,1,personal auto,personal l3,offer3,web,23,suv,medsize
2437,central,14349,no,premium,bachelor,2/5/11,feb,employed,m,73222,urban,married,180,24,43,0,3,personal auto,personal l1,offer1,call center,821,suv,large
2438,central,4611,no,basic,master,1/7/11,jan,unemployed,m,82664,suburban,married,61,4,15,0,7,personal auto,personal l3,offer2,web,292,four-door car,medsize
2439,central,2592,yes,basic,high school or below,1/2/11,jan,employed,m,72421,suburban,married,65,8,23,0,1,personal auto,personal l2,offer2,call center,312,four-door car,small
2440,west region,2762,no,basic,college,2/10/11,feb,employed,f,72335,suburban,single,69,23,35,0,1,personal auto,personal l1,offer2,web,331,four-door car,medsize
2441,north west,4909,no,basic,high school or below,1/24/11,jan,employed,m,98693,suburban,married,61,7,57,0,3,personal auto,personal l2,offer2,agent,292,four-door car,small
2442,north west,8382,yes,basic,high school or below,2/4/11,feb,retired,m,19683,suburban,married,117,17,41,1,9,personal auto,personal l3,offer1,web,561,sports car,medsize
2443,central,7291,no,extended,master,2/4/11,feb,employed,f,84629,urban,married,90,19,17,0,5,personal auto,personal l3,offer2,web,411,four-door car,large
2444,central,21740,no,extended,high school or below,1/3/11,jan,employed,f,30095,suburban,married,136,0,94,0,2,personal auto,personal l3,offer1,web,652,suv,medsize
2445,east,13268,no,premium,high school or below,1/18/11,jan,employed,m,32762,urban,married,112,26,74,0,2,corporate auto,corporate l3,offer1,call center,326,four-door car,medsize
2446,central,24980,no,basic,college,2/24/11,feb,employed,f,88440,rural,single,70,19,30,0,2,personal auto,personal l3,offer4,branch,27,two-door car,medsize
2447,central,4267,no,basic,bachelor,2/26/11,feb,employed,f,43682,rural,married,107,12,73,0,1,corporate auto,corporate l3,offer3,branch,148,suv,medsize
2448,west region,6990,yes,extended,college,1/27/11,jan,employed,f,22568,suburban,married,88,31,63,0,6,corporate auto,corporate l2,offer3,branch,422,four-door car,medsize
2449,north west,5917,no,premium,high school or below,2/13/11,feb,unemployed,m,77231,suburban,single,169,31,77,0,1,personal auto,personal l3,offer4,agent,1207,suv,medsize
2450,north west,3677,no,extended,high school or below,1/10/11,jan,employed,m,31349,suburban,married,93,10,32,0,1,corporate auto,corporate l2,offer4,branch,446,four-door car,medsize
2451,central,8269,no,basic,college,2/18/11,feb,medical leave,m,20225,suburban,married,114,27,64,1,6,special auto,special l2,offer3,call center,547,suv,small
2452,central,11763,no,extended,high school or below,2/3/11,feb,employed,f,28806,suburban,married,99,35,75,0,2,special auto,special l3,offer2,call center,475,four-door car,medsize
2453,north west,2652,no,basic,doctor,2/2/11,feb,unemployed,f,79407,suburban,single,73,2,35,0,1,personal auto,personal l2,offer1,branch,490,suv,small
2454,north west,8556,no,premium,high school or below,2/20/11,feb,employed,f,52440,urban,single,109,27,58,0,3,corporate auto,corporate l3,offer2,agent,371,four-door car,medsize
2455,north west,8776,no,basic,high school or below,2/23/11,feb,employed,f,28360,suburban,married,73,8,65,0,2,personal auto,personal l3,offer1,branch,863,four-door car,medsize
2456,north west,4233,no,premium,bachelor,2/13/11,feb,employed,f,95647,suburban,single,106,11,30,0,1,personal auto,personal l2,offer1,agent,508,two-door car,medsize
2457,central,3020,no,basic,college,2/13/11,feb,employed,f,78561,suburban,married,74,20,50,0,1,personal auto,personal l1,offer1,branch,355,two-door car,medsize
2458,north west,8543,no,basic,bachelor,1/14/11,jan,employed,m,99180,rural,married,106,15,20,0,3,personal auto,personal l1,offer3,branch,33,suv,medsize
2459,north west,11042,no,basic,college,1/25/11,jan,unemployed,f,96176,suburban,single,64,14,91,0,2,personal auto,personal l3,offer2,agent,415,four-door car,medsize
2460,west region,5367,no,basic,college,1/6/11,jan,employed,f,97742,rural,single,67,33,57,0,5,personal auto,personal l1,offer1,agent,67,four-door car,small
2461,west region,8901,no,basic,high school or below,2/20/11,feb,employed,m,46814,suburban,married,113,7,19,0,3,corporate auto,corporate l1,offer4,agent,542,suv,medsize
2462,north west,3489,no,extended,bachelor,2/20/11,feb,unemployed,m,72213,suburban,married,98,29,37,0,1,personal auto,personal l3,offer2,call center,705,four-door car,small
2463,north west,5626,no,basic,bachelor,1/18/11,jan,employed,f,46897,suburban,married,70,16,47,0,3,personal auto,personal l2,offer4,branch,344,four-door car,small
2464,west region,31758,no,extended,master,1/28/11,jan,employed,f,44207,urban,married,99,23,57,0,2,corporate auto,corporate l2,offer3,agent,407,four-door car,medsize
2465,north west,2657,no,basic,college,1/13/11,jan,unemployed,m,25188,suburban,married,71,22,25,0,1,personal auto,personal l1,offer3,call center,340,four-door car,medsize
2466,north west,4428,yes,basic,high school or below,1/29/11,jan,employed,f,58577,urban,married,110,6,62,0,1,personal auto,personal l1,offer1,agent,303,four-door car,small
2467,north west,15808,no,extended,college,1/25/11,jan,employed,m,86347,urban,married,130,17,93,0,2,personal auto,personal l2,offer1,web,593,sports car,medsize
2468,west region,20766,no,basic,bachelor,1/13/11,jan,unemployed,f,96823,suburban,single,73,9,28,2,2,personal auto,personal l3,offer3,call center,350,two-door car,medsize
2469,east,8255,no,basic,high school or below,1/14/11,jan,employed,f,54040,rural,married,103,14,88,0,4,personal auto,personal l2,offer1,agent,59,suv,medsize
2470,north west,8104,no,basic,bachelor,2/22/11,feb,unemployed,f,16758,suburban,single,117,24,8,1,6,personal auto,personal l2,offer2,agent,842,suv,medsize
2471,north west,34611,yes,basic,high school or below,1/14/11,jan,employed,f,20090,suburban,married,109,10,59,0,2,personal auto,personal l2,offer2,agent,523,sports car,medsize
2472,west region,5258,no,basic,high school or below,2/26/11,feb,employed,f,37874,rural,married,65,30,65,0,8,corporate auto,corporate l3,offer1,branch,41,four-door car,large
2473,east,19069,no,premium,college,2/2/11,feb,unemployed,m,60560,suburban,single,102,29,72,2,2,personal auto,personal l3,offer1,branch,734,four-door car,medsize
2474,north west,4425,no,basic,college,2/25/11,feb,employed,m,63597,rural,married,114,10,31,2,1,personal auto,personal l3,offer2,branch,183,suv,medsize
2475,north west,5926,no,basic,bachelor,2/7/11,feb,employed,f,58733,suburban,married,74,26,42,0,9,corporate auto,corporate l2,offer2,call center,355,four-door car,small
2476,north west,5004,no,basic,master,2/10/11,feb,disabled,m,25486,rural,married,65,15,53,0,3,special auto,special l3,offer1,web,72,two-door car,medsize
2477,north west,2452,no,basic,bachelor,1/28/11,jan,employed,f,52785,rural,married,61,2,90,0,1,corporate auto,corporate l1,offer2,agent,45,two-door car,medsize
2478,west region,9710,no,extended,high school or below,1/23/11,jan,employed,m,33190,rural,single,123,1,95,0,4,personal auto,personal l2,offer1,call center,40,sports car,medsize
2479,north west,7732,no,basic,high school or below,1/11/11,jan,employed,f,34430,urban,divorced,65,6,15,0,2,personal auto,personal l2,offer1,agent,184,two-door car,medsize
2480,north west,5638,no,basic,bachelor,1/10/11,jan,employed,m,20920,rural,single,74,19,14,0,4,personal auto,personal l1,offer2,branch,14,two-door car,medsize
2481,central,9560,no,extended,doctor,2/3/11,feb,disabled,f,19429,suburban,married,122,18,21,0,9,special auto,special l1,offer1,branch,683,suv,small
2482,north west,26113,no,basic,bachelor,1/2/11,jan,employed,m,80409,urban,divorced,74,28,72,0,2,personal auto,personal l3,offer3,call center,262,two-door car,medsize
2483,west region,12948,no,premium,college,1/21/11,jan,employed,m,30763,suburban,single,111,0,19,0,2,personal auto,personal l1,offer1,agent,1072,four-door car,medsize
2484,east,6689,yes,extended,high school or below,2/13/11,feb,employed,m,56980,suburban,married,84,33,70,0,7,corporate auto,corporate l3,offer2,agent,599,two-door car,medsize
2485,central,4637,no,basic,high school or below,2/23/11,feb,unemployed,m,10173,suburban,divorced,68,18,81,0,3,personal auto,personal l3,offer1,call center,352,four-door car,medsize
2486,west region,4929,yes,basic,bachelor,1/26/11,jan,employed,m,25632,suburban,married,63,27,52,0,7,personal auto,personal l1,offer2,call center,351,two-door car,medsize
2487,central,9103,no,premium,college,2/4/11,feb,employed,m,65733,suburban,married,113,13,6,0,3,personal auto,personal l2,offer2,agent,684,four-door car,medsize
2488,west region,5243,no,basic,bachelor,1/20/11,jan,employed,f,96535,urban,single,66,11,85,0,3,personal auto,personal l3,offer1,agent,271,four-door car,medsize
2489,north west,12421,no,basic,bachelor,1/14/11,jan,employed,m,58781,urban,divorced,106,31,37,0,2,personal auto,personal l2,offer1,agent,502,suv,small
2490,east,5639,yes,basic,high school or below,1/10/11,jan,employed,m,73168,suburban,married,70,21,50,0,3,personal auto,personal l2,offer2,agent,425,four-door car,medsize
2491,east,4049,no,premium,bachelor,1/18/11,jan,employed,f,62864,rural,single,104,20,14,0,1,personal auto,personal l2,offer3,agent,171,two-door car,small
2492,central,4631,no,basic,bachelor,1/12/11,jan,employed,m,78152,suburban,married,114,18,35,0,1,corporate auto,corporate l3,offer4,branch,547,suv,medsize
2493,west region,23990,no,basic,bachelor,1/25/11,jan,employed,m,69781,suburban,married,119,25,49,0,2,personal auto,personal l1,offer2,call center,849,suv,small
2494,central,7086,no,basic,high school or below,1/13/11,jan,unemployed,f,78924,suburban,single,196,10,38,0,1,personal auto,personal l3,offer1,branch,1644,luxury suv,medsize
2495,north west,3600,yes,basic,high school or below,2/25/11,feb,retired,f,25147,suburban,single,101,7,54,0,1,corporate auto,corporate l3,offer1,agent,694,suv,medsize
2496,east,12321,no,basic,high school or below,1/22/11,jan,medical leave,m,26887,suburban,single,113,32,67,0,2,special auto,special l3,offer1,web,542,suv,small
2497,west region,7019,yes,basic,college,1/23/11,jan,retired,m,26806,suburban,married,63,32,19,0,2,personal auto,personal l2,offer1,agent,302,four-door car,medsize
2498,west region,4330,yes,premium,college,2/16/11,feb,employed,m,60475,suburban,married,107,9,18,0,1,personal auto,personal l1,offer2,branch,513,four-door car,medsize
2499,central,7614,no,extended,bachelor,2/2/11,feb,employed,m,27293,suburban,married,96,20,55,0,6,personal auto,personal l3,offer2,web,469,two-door car,medsize
2500,east,8662,no,basic,college,2/12/11,feb,unemployed,f,23910,urban,married,117,0,65,0,4,personal auto,personal l3,offer3,call center,511,suv,medsize
2501,west region,6676,no,extended,high school or below,1/27/11,jan,employed,m,56875,rural,married,84,0,70,0,6,personal auto,personal l2,offer3,branch,145,two-door car,medsize
2502,central,4196,no,premium,high school or below,2/26/11,feb,medical leave,f,18052,suburban,divorced,111,5,71,0,1,personal auto,personal l1,offer3,web,699,four-door car,medsize
2503,west region,2674,yes,basic,college,2/15/11,feb,employed,m,56342,suburban,single,69,12,89,0,1,personal auto,personal l2,offer2,call center,331,four-door car,small
2504,central,7221,no,basic,bachelor,2/9/11,feb,employed,m,33811,urban,married,184,17,59,0,1,personal auto,personal l3,offer3,agent,587,luxury suv,medsize
2505,north west,3837,no,extended,bachelor,2/1/11,feb,employed,m,36794,suburban,single,99,0,75,0,1,personal auto,personal l3,offer1,agent,712,four-door car,large
2506,central,3587,no,extended,high school or below,2/18/11,feb,disabled,m,16049,suburban,married,93,3,8,0,1,personal auto,personal l2,offer2,call center,446,four-door car,large
2507,north west,8283,no,premium,high school or below,2/22/11,feb,employed,m,71034,suburban,married,103,26,15,0,3,corporate auto,corporate l1,offer1,branch,494,four-door car,medsize
2508,west region,5108,no,basic,college,1/9/11,jan,disabled,m,26784,suburban,married,67,14,82,0,8,corporate auto,corporate l3,offer3,branch,482,four-door car,small
2509,north west,4349,yes,basic,college,2/10/11,feb,employed,f,75648,rural,married,108,28,10,0,1,personal auto,personal l2,offer2,branch,112,suv,large
2510,north west,14428,no,basic,high school or below,1/17/11,jan,unemployed,f,75772,suburban,single,68,2,82,0,2,personal auto,personal l1,offer1,branch,326,two-door car,small
2511,north west,7521,no,premium,college,2/14/11,feb,unemployed,m,56820,suburban,married,104,13,20,0,3,personal auto,personal l3,offer1,branch,499,four-door car,small
2512,central,32269,no,extended,high school or below,2/27/11,feb,employed,m,41520,urban,married,90,18,70,0,2,personal auto,personal l2,offer1,agent,289,two-door car,medsize
2513,north west,5627,no,basic,doctor,1/21/11,jan,employed,f,61486,urban,married,70,2,65,0,3,personal auto,personal l3,offer2,call center,334,two-door car,medsize
2514,east,5295,no,basic,bachelor,1/6/11,jan,unemployed,m,75429,suburban,single,74,19,71,0,3,personal auto,personal l1,offer3,agent,532,four-door car,medsize
2515,central,5678,yes,extended,bachelor,1/19/11,jan,unemployed,f,67068,suburban,married,76,8,44,0,3,personal auto,personal l2,offer2,agent,364,four-door car,small
2516,north west,3230,yes,extended,college,1/5/11,jan,employed,m,62873,urban,divorced,81,0,41,0,1,special auto,special l3,offer2,call center,207,four-door car,medsize
2517,central,7805,yes,basic,college,1/27/11,jan,retired,f,21073,suburban,divorced,106,25,54,1,3,personal auto,personal l2,offer1,agent,508,suv,small
2518,west region,7907,no,basic,college,2/14/11,feb,employed,m,24666,rural,married,101,32,51,0,3,personal auto,personal l2,offer3,branch,151,sports car,medsize
2519,west region,3455,no,extended,high school or below,2/21/11,feb,unemployed,f,55740,suburban,single,91,16,63,0,1,personal auto,personal l2,offer1,call center,681,four-door car,small
2520,north west,2398,no,basic,high school or below,2/24/11,feb,unemployed,m,40239,suburban,married,65,26,97,0,1,personal auto,personal l3,offer1,agent,422,two-door car,medsize
2521,west region,19339,no,basic,master,2/7/11,feb,employed,m,22582,suburban,married,61,0,74,0,2,personal auto,personal l1,offer2,web,292,four-door car,medsize
2522,central,17497,no,basic,college,2/28/11,feb,unemployed,m,86714,suburban,divorced,73,9,94,0,2,personal auto,personal l3,offer1,agent,350,two-door car,medsize
2523,west region,3056,no,extended,high school or below,1/7/11,jan,employed,f,78310,suburban,married,76,4,24,0,1,personal auto,personal l2,offer3,branch,364,four-door car,medsize
2524,central,7699,no,basic,bachelor,2/3/11,feb,medical leave,m,23577,rural,married,68,1,67,0,2,personal auto,personal l3,offer2,agent,91,four-door car,medsize
2525,west region,3491,no,extended,master,2/16/11,feb,employed,f,29673,urban,single,92,21,49,2,1,corporate auto,corporate l3,offer2,branch,328,two-door car,medsize
2526,west region,2410,no,basic,bachelor,2/23/11,feb,medical leave,m,16258,suburban,married,64,13,84,0,1,personal auto,personal l2,offer3,branch,307,two-door car,medsize
